,Year,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Location,Origin,Aid_Contribution,Dis_Mag_Value,Latitude,Longitude,Local Time,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,Total_Affected,Total_Damages_USD,CPI
0,1900,Natural,Climatological,Drought,Drought,Bengal,,,,,,,1900,,,1900,,,1250000.0,,,3.2613889831939
1,1905,Natural,Geophysical,Earthquake,Ground movement,Kangra,,,8.0,32.04,76.16,06:20,1905,4.0,4.0,1905,4.0,4.0,20000.0,,25000.0,3.5223001018494
2,1907,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1907,,,1907,,,1300000.0,,,3.6527556611772
3,1908,Technological,Technological,Industrial accident,Explosion,Nadu Khas,,,,,,,1908,,,1908,,,20.0,,,3.5223001018494
4,1910,Technological,Technological,Industrial accident,Explosion,Dishergarh,,,,,,,1910,,,1910,,,11.0,,,3.6527556611772
5,1910,Technological,Technological,Industrial accident,Explosion,Sitalpur,,,,,,,1910,,,1910,,,14.0,,,3.6527556611772
6,1910,Technological,Technological,Industrial accident,Explosion,Nambarg,,,,,,,1910,,,1910,,,14.0,,,3.6527556611772
7,1916,Natural,Meteorological,Storm,Tropical cyclone,"Cuddalore, Pondicherry",,,,,,,1916,11.0,21.0,1916,11.0,21.0,300.0,,,4.2658967900176
8,1920,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1920,,,1920,,,2000000.0,,,7.8534246715309
9,1920,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1920,,,1920,,,500000.0,,,7.8534246715309
10,1924,Natural,Meteorological,Storm,Tropical cyclone,Punjab province,,,,,,,1924,9.0,23.0,1924,9.0,23.0,1242.0,1000000.0,,6.7184613053794
11,1924,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1924,,,1924,,,300000.0,,,6.7184613053794
12,1925,Natural,Meteorological,Storm,Tropical cyclone,"Bezwada, Masulipatam",,,,,,,1925,5.0,10.0,1925,5.0,10.0,80.0,,,6.8750079765728
13,1926,Natural,Hydrological,Flood,Riverine flood,Bengal,,,,,,,1926,7.0,19.0,1926,7.0,19.0,,,,6.9402357562366
14,1926,Natural,Biological,Epidemic,Viral disease,,,,,,,,1926,,,1926,,,423000.0,,,6.9402357562366
15,1927,Natural,Meteorological,Storm,Tropical cyclone,"Gujarat, Ahmedabad, Baroda",,,,,,,1927,7.0,23.0,1927,7.0,23.0,56.0,40010.0,,6.8097801969089
16,1927,Natural,Meteorological,Storm,Tropical cyclone,Nellore,,,,,,,1927,11.0,1.0,1927,11.0,1.0,629.0,,,6.8097801969089
17,1928,Natural,Hydrological,Flood,,"Godavari, Vizagapatnam",,,,,,,1928,10.0,19.0,1928,10.0,19.0,36.0,2000.0,,6.7315068613122
18,1935,Natural,Meteorological,Storm,Tropical cyclone,,,,,,,,1935,,,1935,,,60000.0,,,5.3747690443035
19,1935,Natural,Meteorological,Storm,,"Madras, Negapatam",,,,,,,1935,11.0,13.0,1935,11.0,13.0,100.0,,,5.3747690443035
20,1936,Natural,Meteorological,Storm,Tropical cyclone,Guntur (Madras),,,,,,,1936,10.0,28.0,1936,10.0,28.0,233.0,,,5.4399968239674
21,1936,Technological,Technological,Industrial accident,Explosion,Poldih,,,,,,,1936,,,1936,,,205.0,,,5.4399968239674
22,1937,Technological,Technological,Transport accident,Rail,Near Patna,,,,,,,1937,7.0,16.0,1937,7.0,16.0,107.0,,,5.6356801629591
23,1942,Natural,Climatological,Drought,Drought,"Calcutta, Bengal region",,,,,,,1942,,,1942,,,1500000.0,,,6.4053679629928
24,1942,Natural,Meteorological,Storm,Tropical cyclone,"Orissa, West Bengal",,,,,,,1942,10.0,14.0,1942,10.0,14.0,40000.0,,,6.4053679629928
25,1943,Natural,Meteorological,Storm,Tropical cyclone,Rajputana,,,,,,,1943,7.0,24.0,1943,7.0,24.0,5000.0,,,6.7836890850433
26,1943,Technological,Technological,Transport accident,Air,Near Calcutta,,,,,,,1943,8.0,22.0,1943,8.0,22.0,20.0,,,6.7836890850433
27,1943,Natural,Meteorological,Storm,,Madras,,,,,,,1943,10.0,3.0,1943,10.0,3.0,,30000.0,,6.7836890850433
28,1944,Natural,Meteorological,Storm,Tropical cyclone,Assam,,,,,,,1944,6.0,14.0,1944,6.0,14.0,304.0,,,6.9010990884382
29,1944,Technological,Technological,Transport accident,Air,Off Calcutta,,,,,,,1944,5.0,27.0,1944,5.0,27.0,14.0,,,6.9010990884382
30,1945,Natural,Meteorological,Storm,Tropical cyclone,"Gujarat, Punjab",,,,,,,1945,9.0,18.0,1945,9.0,18.0,,2000.0,,7.0576457596316
31,1947,Technological,Technological,Transport accident,Water,,,,,,,,1947,6.0,17.0,1947,6.0,17.0,625.0,,,8.7535680308924
32,1948,Natural,Hydrological,Landslide,Landslide,Assam,,,,,,,1948,9.0,18.0,1948,9.0,18.0,500.0,,,9.418891383464
33,1949,Natural,Meteorological,Storm,Tropical cyclone,"East & West Godavari districts, Masulipatnam",,,,,,,1949,10.0,27.0,1949,10.0,27.0,1000.0,,,9.3275724919345
34,1950,Natural,Geophysical,Earthquake,Ground movement,Assam province,,,9.0,28.5,96.5,19:39,1950,8.0,15.0,1950,8.0,15.0,1500.0,,20000.0,9.4319369393968
35,1950,Natural,Hydrological,Flood,Riverine flood,Saurashtra,,,,,,,1950,7.0,11.0,1950,7.0,11.0,45.0,25000.0,,9.4319369393968
36,1950,Natural,Meteorological,Storm,,West,,,,,,,1950,9.0,12.0,1950,9.0,12.0,90.0,,,9.4319369393968
37,1950,Natural,Hydrological,Flood,,,,,,,,,1950,6.0,,1950,6.0,,100.0,,,9.4319369393968
38,1952,Natural,Meteorological,Storm,Tropical cyclone,"Tanjore, Tiruchi",,,,,,,1952,11.0,26.0,1952,11.0,26.0,400.0,1000000.0,,10.4103536343549
39,1952,Natural,Meteorological,Storm,,,,,,,,,1952,9.0,,1952,9.0,,350.0,,,10.4103536343549
40,1953,Natural,Meteorological,Extreme temperature,Heat wave,,,,,,,,1953,6.0,,1953,6.0,,400.0,,,10.4886269699515
41,1953,Technological,Technological,Industrial accident,Explosion,Majri,,,,,,,1953,,,1953,,,11.0,,,10.4886269699515
42,1953,Natural,Hydrological,Flood,,,,,,,,,1953,6.0,,1953,6.0,,80.0,,,10.4886269699515
43,1954,Natural,Hydrological,Landslide,Landslide,,,,,,,,1954,2.0,,1954,2.0,,30.0,,,10.5277636377498
44,1955,Natural,Meteorological,Storm,Tropical cyclone,Punjab,,,,,,,1955,9.0,28.0,1955,9.0,28.0,1500.0,375000.0,,10.473000409773
45,1955,Natural,Meteorological,Storm,Tropical cyclone,Tanjore,,,,,,,1955,11.0,28.0,1955,11.0,28.0,500.0,,,10.473000409773
46,1955,Natural,Meteorological,Storm,,,,,,,,,1955,12.0,,1955,12.0,,120.0,,,10.473000409773
47,1956,Natural,Geophysical,Earthquake,Ground movement,"Anjar, Bhuj, Gandhidham, Kandla",,,6.0,23,70,21:02,1956,7.0,21.0,1956,7.0,21.0,113.0,219.0,,10.6327191682906
48,1956,Natural,Hydrological,Landslide,Landslide,,,,,,,,1956,10.0,,1956,10.0,,27.0,,,10.6327191682906
49,1956,Natural,Meteorological,Storm,Tropical cyclone,"Parganas, Midnapore (West Bengal)",,,,,,,1956,5.0,29.0,1956,5.0,29.0,,1000000.0,,10.6327191682906
50,1956,Technological,Technological,Industrial accident,Explosion,Burra,,,,,,,1956,,,1956,,,28.0,,,10.6327191682906
51,1956,Natural,Hydrological,Flood,,"Gujarat, Saurashtra, Kutch",,,,,,,1956,8.0,1.0,1956,8.0,1.0,,2000.0,,10.6327191682906
52,1956,Natural,Hydrological,Flood,,"Bihar, Uttar Pradesh",,,,,,,1956,9.0,9.0,1956,9.0,9.0,100.0,75000.0,,10.6327191682906
53,1956,Natural,Hydrological,Flood,,,,,,,,,1956,10.0,,1956,10.0,,50.0,,,10.6327191682906
54,1958,Natural,Hydrological,Landslide,Landslide,,,,,,,,1958,6.0,,1958,6.0,,52.0,,,11.2878924132663
55,1958,Natural,Meteorological,Extreme temperature,Heat wave,,,,,,,,1958,5.0,,1958,5.0,,651.0,,,11.2878924132663
56,1958,Technological,Technological,Industrial accident,Explosion,Chunalami,,,,,,,1958,,,1958,,,175.0,,,11.2878924132663
57,1958,Technological,Technological,Industrial accident,Explosion,Baro Dhemo,,,,,,,1958,,,1958,,,29.0,,,11.2878924132663
58,1961,Natural,Meteorological,Extreme temperature,Cold wave,,,,,,,,1961,12.0,,1961,12.0,,400.0,,,11.692075064479
59,1963,Natural,Meteorological,Storm,Tropical cyclone,,,,,,,,1963,4.0,,1963,4.0,,112.0,,,11.9789161597039
60,1964,Natural,Climatological,Drought,Drought,Mysore,,,,,,,1964,8.0,,1964,,,,166000.0,,12.1321174880359
61,1964,Natural,Meteorological,Storm,Tropical cyclone,Rameswaram,,,,,,,1964,12.0,17.0,1964,12.0,17.0,500.0,,,12.1321174880359
62,1964,Natural,Climatological,Drought,Drought,"Rajasthan, center",,,,,,,1964,7.0,,1964,,,,500000.0,,12.1321174880359
63,1965,Natural,Climatological,Drought,Drought,Nationwide except south,,,,,,,1965,,,1967,,,1500000.0,100000000.0,100000.0,12.3244326683639
64,1965,Natural,Meteorological,Extreme temperature,Heat wave,,,,,,,,1965,6.0,,1965,6.0,,100.0,,,12.3244326683639
65,1965,Technological,Technological,Industrial accident,Explosion,Dhori,,,,,,,1965,,,1965,,,260.0,,,12.3244326683639
66,1965,Technological,Technological,Industrial accident,Explosion,Chinakuri,,,,,,,1965,,,1965,,,200.0,,,12.3244326683639
67,1966,Natural,Meteorological,Storm,Tropical cyclone,Madras state,,,,,,,1966,11.0,3.0,1966,11.0,3.0,18.0,150000.0,4200.0,12.6960281686485
68,1967,Natural,Geophysical,Earthquake,Ground movement,"Maharashtra, Koynana",,,7.0,17.412,73.885,04:21,1967,12.0,11.0,1967,12.0,11.0,177.0,52272.0,400.0,13.048062107494
69,1967,Natural,Meteorological,Storm,Tropical cyclone,Orissa,,,,,,,1967,10.0,8.0,1967,10.0,8.0,1000.0,,,13.048062107494
70,1967,Natural,Biological,Epidemic,Viral disease,,,,,,,,1967,1.0,1.0,1967,1.0,1.0,3029.0,13576.0,,13.048062107494
71,1967,Technological,Technological,Miscellaneous accident,Collapse,Maraksagar,,,,,,,1967,9.0,8.0,1967,9.0,8.0,100.0,,,13.048062107494
72,1968,Natural,Hydrological,Flood,Flash flood,"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",,,,,,,1968,7.0,,1968,7.0,,4892.0,7500000.0,94200.0,13.6054460870388
73,1968,Natural,Hydrological,Landslide,Landslide,"Bihar, Bengal",,,,,,,1968,10.0,1.0,1968,10.0,1.0,1000.0,,,13.6054460870388
74,1968,Natural,Meteorological,Storm,Tropical cyclone,"Ramanathapurum, Thanjavur",,,,,,,1968,12.0,4.0,1968,12.0,4.0,7.0,15000.0,,13.6054460870388
75,1969,Natural,Meteorological,Storm,Tropical cyclone,"Guntur, Krishna, Godavari (Andhra Pradesh)",,,,,,,1969,5.0,17.0,1969,5.0,17.0,600.0,260000.0,8330.0,14.3486278167258
76,1969,Natural,Meteorological,Storm,Tropical cyclone,Andhra Pradesh,,,,,,,1969,11.0,4.0,1969,11.0,4.0,200.0,,,14.3486278167258
77,1970,Natural,Geophysical,Earthquake,Ground movement,Broach,,,5.0,21.7,73,07:22,1970,3.0,23.0,1970,3.0,23.0,26.0,200.0,,15.1863354613098
78,1971,Natural,Meteorological,Storm,Tropical cyclone,"East coast, Orissa state",,,,,,,1971,10.0,27.0,1971,10.0,27.0,9658.0,6900000.0,30000.0,15.8382546266338
79,1971,Natural,Meteorological,Storm,Tropical cyclone,"Bihar, West Bengal",,,,,,,1971,9.0,27.0,1971,9.0,27.0,60.0,,,15.8382546266338
80,1972,Natural,Meteorological,Storm,Tropical cyclone,"Andhra Pradesh, Orissa",,,,,,,1972,9.0,10.0,1972,9.0,10.0,100.0,4500000.0,,16.3565247541826
81,1972,Natural,Meteorological,Storm,Tropical cyclone,Madras City,,,,,,,1972,12.0,1.0,1972,12.0,1.0,80.0,30000.0,,16.3565247541826
82,1972,Natural,Climatological,Drought,Drought,Central,,,,,,,1972,,,1973,,,,200000000.0,100000.0,16.3565247541826
83,1973,Natural,Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Bihar",,,,,,,1973,1.0,5.0,1973,1.0,5.0,115.0,,,17.3669860176555
84,1973,Natural,Meteorological,Extreme temperature,Cold wave,"Bihar, Delhi",,,,,,,1973,12.0,23.0,1973,12.0,23.0,146.0,,,17.3669860176555
85,1973,Technological,Technological,Industrial accident,Explosion,Noonidih,,,,,,,1973,3.0,,1973,3.0,,48.0,,,17.3669860176555
86,1974,Natural,Meteorological,Storm,Tropical cyclone,"West Bengal, Madya Pradesh, Gujarat states",,,,,,,1974,8.0,15.0,1974,8.0,15.0,20.0,100.0,,19.2868744704009
87,1974,Natural,Meteorological,Storm,Tropical cyclone,Midnapore,,,20.0,,,,1974,5.0,29.0,1974,5.0,29.0,,25000.0,,19.2868744704009
88,1975,Natural,Geophysical,Earthquake,Ground movement,"Kinnaur district, Kashmir; Himachal Pradesh",,,7.0,32.455,78.43,13:32,1975,1.0,19.0,1975,1.0,19.0,47.0,,,21.0503075151625
89,1975,Natural,Meteorological,Storm,Tropical cyclone,Madras city,,,,,,,1975,11.0,24.0,1975,11.0,24.0,,2000.0,,21.0503075151625
90,1975,Natural,Meteorological,Storm,Tropical cyclone,Maharashtra (Coast),,,,,,,1975,5.0,29.0,1975,5.0,29.0,,,,21.0503075151625
91,1975,Technological,Technological,Industrial accident,Explosion,Dbanbad (Bihar),,,,,,,1975,12.0,28.0,1975,12.0,28.0,372.0,,,21.0503075151625
92,1975,Technological,Technological,Industrial accident,Other,Sillewera,,,,,,,1975,11.0,,1975,11.0,,10.0,,,21.0503075151625
93,1975,Technological,Technological,Industrial accident,Collapse,Kessurgarh,,,,,,,1975,8.0,,1975,8.0,,11.0,,,21.0503075151625
94,1976,Natural,Meteorological,Storm,Tropical cyclone,"Midnapore, Parganas districts (West Bengal), Balasore district (Orissa)",,,,,,,1976,9.0,8.0,1976,9.0,8.0,40.0,,,22.259601389149
95,1976,Natural,Meteorological,Storm,Tropical cyclone,Madras/Nellore (Andhra Pradesh),,,,,,,1976,11.0,22.0,1976,11.0,22.0,95.0,300000.0,260000.0,22.259601389149
96,1976,Natural,Meteorological,Storm,Tropical cyclone,"Gujarat, Maharastra",,,,,,,1976,5.0,29.0,1976,5.0,29.0,87.0,250000.0,3378.0,22.259601389149
97,1976,Natural,Meteorological,Storm,Tropical cyclone,"Krishna District, near Masulipatnam (Andhra Pradesh)",,,,,,,1976,11.0,3.0,1976,11.0,3.0,18.0,,,22.259601389149
98,1976,Natural,Meteorological,Storm,Tropical cyclone,Between Nellore and Kavali (Andhra Pradesh),,,,,,,1976,11.0,15.0,1976,11.0,15.0,30.0,50000.0,3378.0,22.259601389149
99,1976,Natural,Meteorological,Storm,Tropical cyclone,"Neil & Havelock Isl. (Little Andaman, South Andaman Sea areas)",,,,,,,1976,12.0,29.0,1976,12.0,29.0,,,,22.259601389149
100,1976,Technological,Technological,Industrial accident,Explosion,Sudamdih Shaft,,,,,,,1976,10.0,,1976,10.0,,43.0,,,22.259601389149
101,1976,Technological,Technological,Industrial accident,Other,Central Saunda,,,,,,,1976,9.0,,1976,9.0,,10.0,,,22.259601389149
102,1977,Natural,Hydrological,Flood,Riverine flood,Ganges region,,,,,,,1977,8.0,,1977,8.0,,500.0,1000000.0,,23.7068509965271
103,1977,Natural,Meteorological,Storm,Tropical cyclone,"Tamil Nadu, Andhra Pradesh, Kerala",,,,,,,1977,11.0,12.0,1977,11.0,12.0,14204.0,14469800.0,498535.0,23.7068509965271
104,1977,Natural,Meteorological,Storm,Tropical cyclone,"North of Nellore district, South of Prakasam district (Andhra Pradesh)",,,,,,,1977,10.0,27.0,1977,10.0,27.0,2.0,10000.0,,23.7068509965271
105,1977,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1977,1.0,1.0,1977,1.0,1.0,,9091.0,,23.7068509965271
106,1978,Natural,Meteorological,Storm,Convective storm,New Delhi,,,,,,,1978,3.0,17.0,1978,3.0,17.0,26.0,700.0,,25.5159153234703
107,1978,Natural,Meteorological,Storm,Convective storm,Orissa,,,,,,,1978,4.0,16.0,1978,4.0,16.0,500.0,1400.0,,25.5159153234703
108,1978,Natural,Meteorological,Storm,Convective storm,West Bengal,,,,,,,1978,4.0,16.0,1978,4.0,16.0,100.0,100.0,,25.5159153234703
109,1978,Natural,Meteorological,Extreme temperature,Heat wave,,,,,,,,1978,5.0,,1978,5.0,,150.0,,,25.5159153234703
110,1978,Natural,Biological,Epidemic,Viral disease,Tamil Nadu,,,,,,,1978,1.0,1.0,1978,1.0,1.0,45.0,,,25.5159153234703
111,1978,Natural,Biological,Epidemic,Viral disease,Uttar Pradesh,,,,,,,1978,6.0,,1978,6.0,,48.0,1000.0,,25.5159153234703
112,1978,Technological,Technological,Transport accident,Air,Bombay,,,,,,,1978,1.0,,1978,1.0,,213.0,,,25.5159153234703
113,1978,Technological,Technological,Miscellaneous accident,Fire,Vijayawada (Andhra Pradesh),,,,,,,1978,5.0,22.0,1978,5.0,22.0,,10000.0,,25.5159153234703
114,1957,Natural,Hydrological,Flood,,"Madya Pradesh, Uttar Pradesh",,,,,,,1957,9.0,9.0,1957,9.0,9.0,42.0,10000.0,,10.9880071867879
115,1957,Natural,Hydrological,Flood,,,,,,,,,1957,9.0,,1957,9.0,,92.0,,,10.9880071867879
116,1957,Natural,Hydrological,Flood,,,,,,,,,1957,11.0,,1957,11.0,,53.0,,,10.9880071867879
117,1958,Natural,Meteorological,Storm,,Vishakhapatam,,,,,,,1958,10.0,16.0,1958,10.0,16.0,,20000.0,,11.2878924132663
118,1958,Natural,Hydrological,Flood,,Madras city,,,,,,,1958,11.0,15.0,1958,11.0,15.0,5.0,5000.0,,11.2878924132663
119,1959,Natural,Hydrological,Flood,,Kutch,,,,,,,1959,7.0,4.0,1959,7.0,4.0,17.0,13000.0,,11.4019798896023
120,1959,Natural,Hydrological,Flood,,,,,,,,,1959,7.0,,1959,7.0,,104.0,,,11.4019798896023
121,1959,Natural,Hydrological,Flood,,,,,,,,,1959,9.0,,1959,9.0,,500.0,,,11.4019798896023
122,1960,Natural,Hydrological,Flood,,"Maduri, Madras City",,,,,,,1960,11.0,10.0,1960,11.0,10.0,5.0,160000.0,,11.5682160783056
123,1960,Natural,Hydrological,Flood,,,,,,,,,1960,7.0,,1960,7.0,,30.0,,,11.5682160783056
124,1960,Natural,Hydrological,Flood,,,,,,,,,1960,8.0,,1960,8.0,,47.0,,,11.5682160783056
125,1960,Natural,Hydrological,Flood,,,,,,,,,1960,9.0,,1960,9.0,,155.0,,,11.5682160783056
126,1961,Natural,Hydrological,Flood,,North,,,,,,,1961,7.0,,1961,7.0,,2000.0,,,11.692075064479
127,1961,Natural,Hydrological,Flood,,"Central, West India",,,,,,,1961,9.0,6.0,1961,9.0,6.0,,2000.0,,11.692075064479
128,1961,Natural,Hydrological,Flood,,Uttar Pradesh,,,,,,,1961,10.0,9.0,1961,10.0,9.0,57.0,,,11.692075064479
129,1961,Natural,Hydrological,Flood,,,,,,,,,1961,10.0,,1961,10.0,,1000.0,,,11.692075064479
130,1962,Natural,Meteorological,Storm,,"Punjab, Delhi, M.P.",,,,,,,1962,9.0,16.0,1962,9.0,16.0,,40000.0,,11.8322415324397
131,1962,Natural,Hydrological,Flood,,,,,,,,,1962,8.0,,1962,8.0,,100.0,,,11.8322415324397
132,1962,Natural,Hydrological,Flood,,,,,,,,,1962,9.0,,1962,9.0,,73.0,,,11.8322415324397
133,1963,Natural,Meteorological,Storm,,"Orissa, Uttar Pradesh, Punjab",,,,,,,1963,9.0,8.0,1963,9.0,8.0,200.0,5000000.0,,11.9789161597039
134,1963,Natural,Hydrological,Flood,,,,,,,,,1963,7.0,,1963,7.0,,200.0,,,11.9789161597039
135,1964,Natural,Hydrological,Flood,,"Assam, Bihar, Punjab",,,,,,,1964,7.0,,1964,7.0,,145.0,752210.0,,12.1321174880359
136,1964,Natural,Hydrological,Flood,,Andhra Pradesh,,,,,,,1964,10.0,,1964,10.0,,,18400.0,500.0,12.1321174880359
137,1964,Natural,Hydrological,Flood,,,,,,,,,1964,9.0,,1964,9.0,,51.0,,,12.1321174880359
138,1964,Natural,Hydrological,Flood,,,,,,,,,1964,9.0,,1964,9.0,,36.0,,,12.1321174880359
139,1966,Natural,Hydrological,Flood,,"Manipur, Assam",,,,,,,1966,6.0,,1966,6.0,,47.0,900000.0,1400.0,12.6960281686485
140,1967,Natural,Hydrological,Flood,,"North, Central",,,,,,,1967,9.0,5.0,1967,9.0,5.0,300.0,1000000.0,,13.048062107494
141,1968,Natural,Hydrological,Flood,,Assam,,,,,,,1968,6.0,12.0,1968,6.0,12.0,,1000000.0,,13.6054460870388
142,1968,Natural,Hydrological,Flood,,,,,,,,,1968,8.0,,1968,8.0,,1000.0,,,13.6054460870388
143,1968,Natural,Hydrological,Flood,,,,,,,,,1968,10.0,,1968,10.0,,560.0,,,13.6054460870388
144,1969,Natural,Meteorological,Storm,,Kannaman,,,,,,,1969,7.0,22.0,1969,7.0,22.0,15.0,92.0,,14.3486278167258
145,1969,Natural,Meteorological,Storm,,Madras City,,,,,,,1969,10.0,21.0,1969,10.0,21.0,,20000.0,,14.3486278167258
146,1970,Natural,Hydrological,Flood,,"North-East, Western, North",,,,,,,1970,7.0,,1970,7.0,,627.0,10351000.0,101200.0,15.1863354613098
147,1970,Natural,Meteorological,Storm,,Madras city (Tamil Nadu),,,,,,,1970,11.0,19.0,1970,11.0,19.0,,2000.0,,15.1863354613098
148,1970,Natural,Hydrological,Flood,,"Gujarat, Orissa states",,,,,,,1970,9.0,2.0,1970,9.0,2.0,400.0,,,15.1863354613098
149,1971,Natural,Hydrological,Flood,,North,,,,,,,1971,6.0,,1971,6.0,,1023.0,,530000.0,15.8382546266338
150,1971,Natural,Hydrological,Flood,,Uttar Pradesh,,,,,,,1971,9.0,9.0,1971,9.0,9.0,300.0,35000.0,,15.8382546266338
151,1971,Natural,Hydrological,Flood,,"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",,,2600.0,,,,1971,6.0,,1971,6.0,,,130000.0,,15.8382546266338
152,1972,Natural,Meteorological,Storm,,"Srinagar, Kashmir",,,,,,,1972,10.0,21.0,1972,10.0,21.0,50.0,75.0,,16.3565247541826
153,1974,Natural,Hydrological,Flood,,,,,,,,,1974,6.0,,1974,6.0,,,,,19.2868744704009
154,1974,Natural,Hydrological,Flood,,"Tinsukia, Dhemaji, Nowgong, Majuli, Jorhat, Dhubri",,,,,,,1974,7.0,2.0,1974,7.0,2.0,260.0,,,19.2868744704009
155,1975,Natural,Hydrological,Flood,,"Northwest, Bihar",,,,,,,1975,7.0,,1975,7.0,,350.0,34000000.0,714259.0,21.0503075151625
156,1975,Natural,Meteorological,Storm,,Eastern,,,,,,,1975,8.0,,1975,8.0,,450.0,,200000.0,21.0503075151625
157,1975,Natural,Meteorological,Storm,,Bulandshar (Uttar Pradesh),,,,,,,1975,9.0,,1975,9.0,,30.0,,,21.0503075151625
158,1975,Natural,Meteorological,Storm,,Gujarat,,,,,,,1975,10.0,22.0,1975,10.0,22.0,21.0,,,21.0503075151625
159,1977,Natural,Hydrological,Flood,,Tamil Nadu,,,,,,,1977,10.0,,1977,10.0,,60.0,45000.0,,23.7068509965271
160,1978,Natural,Hydrological,Flood,,"North, Northeast",,,,,,,1978,7.0,,1978,7.0,,3800.0,32000000.0,165000.0,25.5159153234703
161,1978,Natural,Hydrological,Landslide,Landslide,Northeastern,,,,,,,1978,11.0,5.0,1978,11.0,5.0,64.0,,,25.5159153234703
162,1978,Natural,Meteorological,Storm,Tropical cyclone,"Tamil Nadu, Kerala",,,,,,,1978,11.0,3.0,1978,11.0,3.0,170.0,,,25.5159153234703
163,1978,Natural,Biological,Epidemic,Bacterial disease,West Bengal,,,,,,,1978,10.0,,1978,10.0,,113.0,,,25.5159153234703
164,1978,Natural,Biological,Epidemic,Viral disease,Uttar Pradesh,,,,,,,1978,10.0,,1978,10.0,,2000.0,,,25.5159153234703
165,1978,Technological,Technological,Transport accident,Rail,Allahabad,,,,,,,1978,10.0,11.0,1978,10.0,11.0,22.0,150.0,,25.5159153234703
166,1978,Natural,Hydrological,Flood,,West Bengal,,,,,,,1978,9.0,,1978,9.0,,810.0,,1000.0,25.5159153234703
167,1978,Natural,Meteorological,Storm,,,,,,,,,1978,11.0,25.0,1978,11.0,25.0,15.0,1000.0,,25.5159153234703
168,1979,Natural,Hydrological,Landslide,Landslide,"Lahaul, Pangi",,,,,,,1979,3.0,,1979,3.0,,230.0,5000.0,,28.3875988971359
169,1979,Natural,Hydrological,Landslide,Landslide,Uttar Pradesh,,,,,,,1979,8.0,19.0,1979,8.0,19.0,42.0,112.0,,28.3875988971359
170,1979,Natural,Meteorological,Storm,Tropical cyclone,Andhra Pradesh,,,,,,,1979,5.0,12.0,1979,5.0,12.0,594.0,1605772.0,12800.0,28.3875988971359
171,1979,Natural,Meteorological,Extreme temperature,Heat wave,Bihar,,,,,,,1979,5.0,,1979,5.0,,300.0,,,28.3875988971359
172,1979,Natural,Meteorological,Extreme temperature,Heat wave,Rajasthan,,,,,,,1979,7.0,,1979,7.0,,100.0,,,28.3875988971359
173,1979,Natural,Biological,Epidemic,Bacterial disease,Bihar,,,,,,,1979,8.0,13.0,1979,8.0,13.0,215.0,,,28.3875988971359
174,1979,Technological,Technological,Transport accident,Rail,Northeastern,,,,,,,1979,9.0,2.0,1979,9.0,2.0,5.0,200.0,,28.3875988971359
175,1979,Technological,Technological,Industrial accident,Explosion,Baragolai,,,,,,,1979,1.0,,1979,1.0,,16.0,,,28.3875988971359
176,1979,Technological,Technological,Industrial accident,Fire,Vishakapatnam,,,,,,,1979,3.0,7.0,1979,3.0,7.0,9.0,1000.0,,28.3875988971359
177,1979,Technological,Technological,Miscellaneous accident,Collapse,Morvi (Gujarat),,,,,,,1979,8.0,11.0,1979,8.0,11.0,1335.0,150000.0,10000.0,28.3875988971359
178,1979,Technological,Technological,Miscellaneous accident,Collapse,Murshidabab district,,,,,,,1979,10.0,23.0,1979,10.0,23.0,19.0,200.0,,28.3875988971359
179,1979,Natural,Climatological,Drought,Drought,,,,,,,,1979,,,1979,,,,10000000.0,200000.0,28.3875988971359
180,1979,Technological,Technological,Miscellaneous accident,Fire,Tuticorin,,,,,,,1979,7.0,29.0,1979,7.0,29.0,92.0,80.0,,28.3875988971359
181,1979,Natural,Hydrological,Flood,,"North West, North, North East",,,,,,,1979,7.0,,1979,7.0,,100.0,1010000.0,100000.0,28.3875988971359
182,1979,Natural,Hydrological,Flood,,Assam,,,,,,,1979,10.0,,1979,10.0,,13.0,1000000.0,,28.3875988971359
183,1979,Natural,Hydrological,Flood,,Tamil Nadu,,,,,,,1979,11.0,,1979,11.0,,140.0,,,28.3875988971359
184,1979,Natural,Hydrological,Flood,,"Uttar Pradesh, Bihar, West Bengal",,,,,,,1979,8.0,25.0,1979,8.0,25.0,,26000000.0,,28.3875988971359
185,1980,Natural,Meteorological,Storm,Convective storm,Uttar Pradesh,,,,,,,1980,5.0,9.0,1980,5.0,9.0,125.0,,,32.2338932328122
186,1980,Natural,Geophysical,Earthquake,Ground movement,Jammu (Kashmir),,,6.0,32.913,75.633,03:06,1980,8.0,24.0,1980,8.0,24.0,13.0,40.0,,32.2338932328122
