,Year,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Location,Origin,Aid_Contribution,Dis_Mag_Value,Latitude,Longitude,Local Time,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,Total_Affected,Total_Damages_USD,CPI
878,2001,Natural,Hydrological,Flood,,"Gopalganj, Purba Champaran, Pashchim Champaran, Muzaffarpur, Vaishali, Saran districts (Bihar province)",,,550.0,,,,2001,8.0,20.0,2001,8.0,20.0,158.0,7000000.0,26000.0,69.259339950271
879,2001,Natural,Hydrological,Flood,,"Saran, Gopalganj districts (Bihar province)",,,,,,,2001,9.0,7.0,2001,9.0,24.0,146.0,,103000.0,69.259339950271
880,2002,Natural,Geophysical,Earthquake,Ground movement,Andaman Islands district (Andaman and Nicobar province),,,7.0,13.036,93.068,4:00,2002,9.0,13.0,2002,9.0,13.0,2.0,200.0,,70.3578189693375
881,2002,Natural,Meteorological,Storm,Convective storm,Orissa province,,,,,,,2002,4.0,11.0,2002,4.0,11.0,,10200.0,,70.3578189693375
882,2002,Natural,Meteorological,Storm,Convective storm,"Gobalpur area (Hugli district, West Bengal), Kolkata, Jalpaiguri, Darjiling districts (West Bengal province)",,,80.0,,,,2002,4.0,27.0,2002,4.0,27.0,11.0,,,70.3578189693375
883,2002,Natural,Hydrological,Flood,Riverine flood,"Barpeta, Bongaigaon, Cachar, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Karimganj, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Nalbari, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Araria, Begusarai, Bhagalpur, Darbhanga, Gopalganj, Katihar, Khagaria, Kishanganj, Madhepura, Madhubani, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Pruba Champaran, Purnia, Saharsa, Samastipur, Saran, Sheikhpura, Sheohar, Sitamarhi, Siwan, Supaul districts (Bihar province), Lahul and Spiti district (Himachal Pradesh province), Balaghat district (Madhya Pradesh province), Tehri Garhwal district (Uttarakhand province), Adilabad, Khammam, Karimnagar districts (Andhra Pradesh province), Jalpaiguri, Kochbihar, Darjiling districts (West Bengal province), Meghalaya, Tripura, Arunachal Pradesh, Gujarat, Kerala, Manipur, Maharashrta provinces",Monssonal rain,93065.0,276600.0,,,,2002,6.0,21.0,2002,8.0,28.0,549.0,42000000.0,30772.0,70.3578189693375
884,2002,Natural,Hydrological,Flood,Riverine flood,"Tehri Garhwal district (Uttaranchal province), Bihar, Assam, Manipur provinces",Heavy rain,,6770.0,,,,2002,8.0,11.0,2002,8.0,13.0,33.0,50.0,20000.0,70.3578189693375
885,2002,Natural,Hydrological,Flood,Riverine flood,Balaghat district (Madhya Pradesh province),,,,,,,2002,8.0,20.0,2002,8.0,20.0,100.0,3000.0,,70.3578189693375
886,2002,Natural,Hydrological,Flood,Riverine flood,"Bharuch district (Gujarat province), Jalgaon, Nasik districts (Maharashtra province)",Monssonal rain,,79000.0,,,,2002,9.0,3.0,2002,9.0,6.0,22.0,5000.0,,70.3578189693375
887,2002,Natural,Hydrological,Flood,Riverine flood,"Kannur, Kasaragod, Kozhikode, Malappuram, Thiruvananthapuram districts (Kerala province)",Monsoonal rain,,9750.0,,,,2002,10.0,10.0,2002,10.0,16.0,11.0,,,70.3578189693375
888,2002,Natural,Meteorological,Storm,Tropical cyclone,West Bengal province,,,,,,,2002,4.0,3.0,2002,4.0,3.0,9.0,5050.0,416.0,70.3578189693375
889,2002,Natural,Meteorological,Storm,Tropical cyclone,"Baleshwar, Bhadrak, Jagatsinghpur, Kendrapara districts (Orissa province), East Midnapore, North 24 Parganas, South 24 Parganas (West Bengal province)",,,60.0,,,,2002,11.0,13.0,2002,11.0,13.0,124.0,,,70.3578189693375
890,2002,Natural,Meteorological,Extreme temperature,Cold wave,"Bihar, Uttar Pradesh, Himachal Pradesh, Rajasthan, Jharkhand, Jammu and Kashmir, Punjab, Haryana, Delhi provinces",,,5.0,,,,2002,12.0,,2002,12.0,,900.0,,,70.3578189693375
891,2002,Natural,Meteorological,Extreme temperature,Heat wave,"Madhya Pradesh, Andhra Pradesh, Uttar Pradesh, Delhi, Rajasthan, Punjab, Haryana, Orissa, West Bengal provinces",,,50.0,,,,2002,5.0,10.0,2002,5.0,22.0,1030.0,,,70.3578189693375
892,2002,Natural,Biological,Epidemic,Parasitic disease,Assam,,,,,,,2002,5.0,1.0,2002,5.0,1.0,50.0,4950.0,,70.3578189693375
893,2002,Natural,Biological,Epidemic,Viral disease,Mandi district,,,,,,,2002,3.0,12.0,2002,3.0,12.0,,200.0,,70.3578189693375
894,2002,Natural,Biological,Epidemic,Viral disease,Assam,,,,,,,2002,8.0,13.0,2002,8.0,13.0,86.0,,,70.3578189693375
895,2002,Natural,Biological,Epidemic,Viral disease,,,,,,,,2003,4.0,25.0,2003,5.0,6.0,,3.0,,70.3578189693375
